Infinitive,бо́дрствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бо́дрствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бо́дрствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бо́дрствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бо́дрствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бо́дрствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бо́дрствую
2nd Sing,бо́дрствуешь
3rd Sing,бо́дрствует
1st Pl,бо́дрствуем
2nd Pl,бо́дрствуете
3rd Pl,бо́дрствуют
Past M,бо́дрствовал
Past F,бо́дрствовала
Past N,бо́дрствовало
Past PL,бо́дрствовали
Imp S,бо́дрствуй
Imp PL,бо́дрствуйте
