Infinitive,борозди́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,бороздя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,борозди́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,борозди́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бороздя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,борозди́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,борозди́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,борозжу́
2nd Sing,борозди́шь
3rd Sing,борозди́т
1st Pl,борозди́м
2nd Pl,борозди́те
3rd Pl,бороздя́т
Past M,борозди́л
Past F,борозди́ла
Past N,борозди́ло
Past PL,борозди́ли
Imp S,борозди́
Imp PL,борозди́те
