Infinitive,вари́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,варя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вари́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,варя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вари́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,варю́сь
2nd Sing,ва́ришься
3rd Sing,ва́рится
1st Pl,ва́римся
2nd Pl,ва́ритесь
3rd Pl,ва́рятся
Past M,вари́лся
Past F,вари́лась
Past N,вари́лось
Past PL,вари́лись
Imp S,вари́сь
Imp PL,вари́тесь
