Infinitive,вду́мываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вду́мывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вду́мывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вду́мываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вду́мывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вду́мываюсь
2nd Sing,вду́мываешься
3rd Sing,вду́мывается
1st Pl,вду́мываемся
2nd Pl,вду́мываетесь
3rd Pl,вду́мываются
Past M,вду́мывался
Past F,вду́мывалась
Past N,вду́мывалось
Past PL,вду́мывались
Imp S,вду́мывайся
Imp PL,вду́мывайтесь
