Infinitive,верну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,верну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,верну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,верну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,верну́
2nd Sing,вернёшь
3rd Sing,вернёт
1st Pl,вернём
2nd Pl,вернёте
3rd Pl,верну́т
Past M,верну́л
Past F,верну́ла
Past N,верну́ло
Past PL,верну́ли
Imp S,верни́
Imp PL,верни́те
