Infinitive,веща́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,веща́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,веща́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,веща́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,веща́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,веща́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,веща́ю
2nd Sing,веща́ешь
3rd Sing,веща́ет
1st Pl,веща́ем
2nd Pl,веща́ете
3rd Pl,веща́ют
Past M,веща́л
Past F,веща́ла
Past N,веща́ло
Past PL,веща́ли
Imp S,веща́й
Imp PL,веща́йте
