Infinitive,взби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взобью́
2nd Sing,взобьёшь
3rd Sing,взобьёт
1st Pl,взобьём
2nd Pl,взобьёте
3rd Pl,взобью́т
Past M,взби́л
Past F,взби́ла
Past N,взби́ло
Past PL,взби́ли
Imp S,взбе́й
Imp PL,взбе́йте
