Infinitive,взбудора́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взбудора́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взбудора́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взбудора́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взбудора́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взбудора́жу
2nd Sing,взбудора́жишь
3rd Sing,взбудора́жит
1st Pl,взбудора́жим
2nd Pl,взбудора́жите
3rd Pl,взбудора́жат
Past M,взбудора́жил
Past F,взбудора́жила
Past N,взбудора́жило
Past PL,взбудора́жили
Imp S,взбудора́жь
Imp PL,взбудора́жьте
