Infinitive,взвива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,взвива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,взвива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взвива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,взвива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взвива́юсь
2nd Sing,взвива́ешься
3rd Sing,взвива́ется
1st Pl,взвива́емся
2nd Pl,взвива́етесь
3rd Pl,взвива́ются
Past M,взвива́лся
Past F,взвива́лась
Past N,взвива́лось
Past PL,взвива́лись
Imp S,взвива́йся
Imp PL,взвива́йтесь
