Infinitive,вздремну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вздремну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вздремну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вздремну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вздремну́
2nd Sing,вздремнёшь
3rd Sing,вздремнёт
1st Pl,вздремнём
2nd Pl,вздремнёте
3rd Pl,вздремну́т
Past M,вздремну́л
Past F,вздремну́ла
Past N,вздремну́ло
Past PL,вздремну́ли
Imp S,вздремни́
Imp PL,вздремни́те
