Infinitive,взлохма́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,взлохма́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,взлохма́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,взлохма́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,взлохма́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,взлохма́чу
2nd Sing,взлохма́тишь
3rd Sing,взлохма́тит
1st Pl,взлохма́тим
2nd Pl,взлохма́тите
3rd Pl,взлохма́тят
Past M,взлохма́тил
Past F,взлохма́тила
Past N,взлохма́тило
Past PL,взлохма́тили
Imp S,взлохма́ть
Imp PL,взлохма́тьте
