Infinitive,влепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,влепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вле́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,влепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,влепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,влеплю́
2nd Sing,вле́пишь
3rd Sing,вле́пит
1st Pl,вле́пим
2nd Pl,вле́пите
3rd Pl,вле́пят
Past M,влепи́л
Past F,влепи́ла
Past N,влепи́ло
Past PL,влепи́ли
Imp S,влепи́
Imp PL,влепи́те
