Infinitive,возложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возложу́
2nd Sing,возло́жишь
3rd Sing,возло́жит
1st Pl,возло́жим
2nd Pl,возло́жите
3rd Pl,возло́жат
Past M,возложи́л
Past F,возложи́ла
Past N,возложи́ло
Past PL,возложи́ли
Imp S,возложи́
Imp PL,возложи́те
