Infinitive,возмуща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возмуща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возмуща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возмуща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возмуща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возмуща́юсь
2nd Sing,возмуща́ешься
3rd Sing,возмуща́ется
1st Pl,возмуща́емся
2nd Pl,возмуща́етесь
3rd Pl,возмуща́ются
Past M,возмуща́лся
Past F,возмуща́лась
Past N,возмуща́лось
Past PL,возмуща́лись
Imp S,возмуща́йся
Imp PL,возмуща́йтесь
