Infinitive,вознаме́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вознаме́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вознаме́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вознаме́рюсь
2nd Sing,вознаме́ришься
3rd Sing,вознаме́рится
1st Pl,вознаме́римся
2nd Pl,вознаме́ритесь
3rd Pl,вознаме́рятся
Past M,вознаме́рился
Past F,вознаме́рилась
Past N,вознаме́рилось
Past PL,вознаме́рились
Imp S,вознаме́рься
Imp PL,вознаме́рьтесь
