Infinitive,возненави́деть
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возненави́девший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возненави́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возненави́дев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возненави́девши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возненави́жу
2nd Sing,возненави́дишь
3rd Sing,возненави́дит
1st Pl,возненави́дим
2nd Pl,возненави́дите
3rd Pl,возненави́дят
Past M,возненави́дел
Past F,возненави́дела
Past N,возненави́дело
Past PL,возненави́дели
Imp S,возненави́дь
Imp PL,возненави́дьте
