Infinitive,возобновля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возобновля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возобновля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возобновля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возобновля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,возобновля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,возобновля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,возобновля́ю
2nd Sing,возобновля́ешь
3rd Sing,возобновля́ет
1st Pl,возобновля́ем
2nd Pl,возобновля́ете
3rd Pl,возобновля́ют
Past M,возобновля́л
Past F,возобновля́ла
Past N,возобновля́ло
Past PL,возобновля́ли
Imp S,возобновля́й
Imp PL,возобновля́йте
