Infinitive,возомни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возомни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возомнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возомни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возомни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возомню́
2nd Sing,возомни́шь
3rd Sing,возомни́т
1st Pl,возомни́м
2nd Pl,возомни́те
3rd Pl,возомня́т
Past M,возомни́л
Past F,возомни́ла
Past N,возомни́ло
Past PL,возомни́ли
Imp S,возомни́
Imp PL,возомни́те
