Infinitive,восхити́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,восхити́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,восхити́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,восхищу́сь
2nd Sing,восхити́шься
3rd Sing,восхити́тся
1st Pl,восхити́мся
2nd Pl,восхити́тесь
3rd Pl,восхитя́тся
Past M,восхити́лся
Past F,восхити́лась
Past N,восхити́лось
Past PL,восхити́лись
Imp S,восхити́сь
Imp PL,восхити́тесь
