Infinitive,воцари́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воцари́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воцари́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,воцарю́сь
2nd Sing,воцари́шься
3rd Sing,воцари́тся
1st Pl,воцари́мся
2nd Pl,воцари́тесь
3rd Pl,воцаря́тся
Past M,воцари́лся
Past F,воцари́лась
Past N,воцари́лось
Past PL,воцари́лись
Imp S,воцари́сь
Imp PL,воцари́тесь
