Infinitive,впа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,впа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,впа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,впа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,впаду́
2nd Sing,впадёшь
3rd Sing,впадёт
1st Pl,впадём
2nd Pl,впадёте
3rd Pl,впаду́т
Past M,впа́л
Past F,впа́ла
Past N,впа́ло
Past PL,впа́ли
Imp S,впади́
Imp PL,впади́те
