Infinitive,вска́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вска́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вска́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вска́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вска́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вска́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вска́киваю
2nd Sing,вска́киваешь
3rd Sing,вска́кивает
1st Pl,вска́киваем
2nd Pl,вска́киваете
3rd Pl,вска́кивают
Past M,вска́кивал
Past F,вска́кивала
Past N,вска́кивало
Past PL,вска́кивали
Imp S,вска́кивай
Imp PL,вска́кивайте
