Infinitive,вти́снуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вти́снувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вти́снувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вти́снусь
2nd Sing,вти́снешься
3rd Sing,вти́снется
1st Pl,вти́снемся
2nd Pl,вти́снетесь
3rd Pl,вти́снутся
Past M,вти́снулся
Past F,вти́снулась
Past N,вти́снулось
Past PL,вти́снулись
Imp S,вти́снись
Imp PL,вти́снитесь
