Infinitive,вы́гладить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́гладивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́глаженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́гладив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́гладивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́глажу
2nd Sing,вы́гладишь
3rd Sing,вы́гладит
1st Pl,вы́гладим
2nd Pl,вы́гладите
3rd Pl,вы́гладят
Past M,вы́гладил
Past F,вы́гладила
Past N,вы́гладило
Past PL,вы́гладили
Imp S,вы́глади
Imp PL,вы́гладите
