Infinitive,выпи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выпи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выпи́сываюсь
2nd Sing,выпи́сываешься
3rd Sing,выпи́сывается
1st Pl,выпи́сываемся
2nd Pl,выпи́сываетесь
3rd Pl,выпи́сываются
Past M,выпи́сывался
Past F,выпи́сывалась
Past N,выпи́сывалось
Past PL,выпи́сывались
Imp S,выпи́сывайся
Imp PL,выпи́сывайтесь
