Infinitive,вы́рубить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́рубивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́рубленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́рубив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́рубивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́рублю
2nd Sing,вы́рубишь
3rd Sing,вы́рубит
1st Pl,вы́рубим
2nd Pl,вы́рубите
3rd Pl,вы́рубят
Past M,вы́рубил
Past F,вы́рубила
Past N,вы́рубило
Past PL,вы́рубили
Imp S,вы́руби
Imp PL,вы́рубите
