Infinitive,гляде́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,глядя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гляде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гля́дя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,short
PART:3:Participle Text,глядя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,гляде́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,гляде́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,гляжу́
2nd Sing,гляди́шь
3rd Sing,гляди́т
1st Pl,гляди́м
2nd Pl,гляди́те
3rd Pl,глядя́т
Past M,гляде́л
Past F,гляде́ла
Past N,гляде́ло
Past PL,гляде́ли
Imp S,гляди́
Imp PL,гляди́те
