Infinitive,дегради́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дегради́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дегради́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дегради́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дегради́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дегради́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дегради́рую
2nd Sing,дегради́руешь
3rd Sing,дегради́рует
1st Pl,дегради́руем
2nd Pl,дегради́руете
3rd Pl,дегради́руют
Past M,дегради́ровал
Past F,дегради́ровала
Past N,дегради́ровало
Past PL,дегради́ровали
Imp S,дегради́руй
Imp PL,дегради́руйте
