Infinitive,достро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,достро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,достро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,достро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,достро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,достро́ю
2nd Sing,достро́ишь
3rd Sing,достро́ит
1st Pl,достро́им
2nd Pl,достро́ите
3rd Pl,достро́ят
Past M,достро́ил
Past F,достро́ила
Past N,достро́ило
Past PL,достро́или
Imp S,достро́й
Imp PL,достро́йте
