Infinitive,дразни́ть
Zaliznyak Class,4c[④]⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дразня́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,дра́знящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,дразни́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дразни́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,дразнённый
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,дразня́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,дразни́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,дразни́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,дразню́
2nd Sing,дра́знишь
3rd Sing,дра́знит
1st Pl,дра́зним
2nd Pl,дра́зните
3rd Pl,дра́знят
Past M,дразни́л
Past F,дразни́ла
Past N,дразни́ло
Past PL,дразни́ли
Imp S,дразни́
Imp PL,дразни́те
