Infinitive,жи́ть
Zaliznyak Class,16b/c'
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,живу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,живя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,short
PART:3:Participle Text,живу́чи
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,жи́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,жи́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,живу́
2nd Sing,живёшь
3rd Sing,живёт
1st Pl,живём
2nd Pl,живёте
3rd Pl,живу́т
Past M,жи́л
Past F,жила́
Past N,жи́ло
Past PL,жи́ли
Imp S,живи́
Imp PL,живи́те
