Infinitive,забере́менеть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забере́меневший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забере́менев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забере́меневши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забере́менею
2nd Sing,забере́менеешь
3rd Sing,забере́менеет
1st Pl,забере́менеем
2nd Pl,забере́менеете
3rd Pl,забере́менеют
Past M,забере́менел
Past F,забере́менела
Past N,забере́менело
Past PL,забере́менели
Imp S,забере́меней
Imp PL,забере́менейте
