Infinitive,заброса́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заброса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забро́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заброса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заброса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заброса́ю
2nd Sing,заброса́ешь
3rd Sing,заброса́ет
1st Pl,заброса́ем
2nd Pl,заброса́ете
3rd Pl,заброса́ют
Past M,заброса́л
Past F,заброса́ла
Past N,заброса́ло
Past PL,заброса́ли
Imp S,заброса́й
Imp PL,заброса́йте
