Infinitive,зависа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зависа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зависа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зависа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зависа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зависа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зависа́ю
2nd Sing,зависа́ешь
3rd Sing,зависа́ет
1st Pl,зависа́ем
2nd Pl,зависа́ете
3rd Pl,зависа́ют
Past M,зависа́л
Past F,зависа́ла
Past N,зависа́ло
Past PL,зависа́ли
Imp S,зависа́й
Imp PL,зависа́йте
