Infinitive,зага́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зага́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зага́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зага́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зага́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зага́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зага́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зага́дываю
2nd Sing,зага́дываешь
3rd Sing,зага́дывает
1st Pl,зага́дываем
2nd Pl,зага́дываете
3rd Pl,зага́дывают
Past M,зага́дывал
Past F,зага́дывала
Past N,зага́дывало
Past PL,зага́дывали
Imp S,зага́дывай
Imp PL,зага́дывайте
