Infinitive,зазвони́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зазвони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зазвони́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зазвони́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зазвоню́
2nd Sing,зазвони́шь
3rd Sing,зазвони́т
1st Pl,зазвони́м
2nd Pl,зазвони́те
3rd Pl,зазвоня́т
Past M,зазвони́л
Past F,зазвони́ла
Past N,зазвони́ло
Past PL,зазвони́ли
Imp S,зазвони́
Imp PL,зазвони́те
