Infinitive,закати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,закачу́сь
2nd Sing,зака́тишься
3rd Sing,зака́тится
1st Pl,зака́тимся
2nd Pl,зака́титесь
3rd Pl,зака́тятся
Past M,закати́лся
Past F,закати́лась
Past N,закати́лось
Past PL,закати́лись
Imp S,закати́сь
Imp PL,закати́тесь
