Infinitive,закача́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закача́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закача́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,закача́юсь
2nd Sing,закача́ешься
3rd Sing,закача́ется
1st Pl,закача́емся
2nd Pl,закача́етесь
3rd Pl,закача́ются
Past M,закача́лся
Past F,закача́лась
Past N,закача́лось
Past PL,закача́лись
Imp S,закача́йся
Imp PL,закача́йтесь
