Infinitive,закова́ть
Zaliznyak Class,2b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зако́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закую́
2nd Sing,закуёшь
3rd Sing,закуёт
1st Pl,закуём
2nd Pl,закуёте
3rd Pl,закую́т
Past M,закова́л
Past F,закова́ла
Past N,закова́ло
Past PL,закова́ли
Imp S,заку́й
Imp PL,заку́йте
