Infinitive,заложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зало́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заложу́
2nd Sing,зало́жишь
3rd Sing,зало́жит
1st Pl,зало́жим
2nd Pl,зало́жите
3rd Pl,зало́жат
Past M,заложи́л
Past F,заложи́ла
Past N,заложи́ло
Past PL,заложи́ли
Imp S,заложи́
Imp PL,заложи́те
