Infinitive,заподо́зрить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заподо́зривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заподо́зренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заподо́зрив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заподо́зривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заподо́зрю
2nd Sing,заподо́зришь
3rd Sing,заподо́зрит
1st Pl,заподо́зрим
2nd Pl,заподо́зрите
3rd Pl,заподо́зрят
Past M,заподо́зрил
Past F,заподо́зрила
Past N,заподо́зрило
Past PL,заподо́зрили
Imp S,заподо́зри
Imp PL,заподо́зрите
