Infinitive,запричита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запричита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запричита́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запричита́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запричита́ю
2nd Sing,запричита́ешь
3rd Sing,запричита́ет
1st Pl,запричита́ем
2nd Pl,запричита́ете
3rd Pl,запричита́ют
Past M,запричита́л
Past F,запричита́ла
Past N,запричита́ло
Past PL,запричита́ли
Imp S,запричита́й
Imp PL,запричита́йте
