Infinitive,запыли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запыли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запыли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запылю́сь
2nd Sing,запыли́шься
3rd Sing,запыли́тся
1st Pl,запыли́мся
2nd Pl,запыли́тесь
3rd Pl,запыля́тся
Past M,запыли́лся
Past F,запыли́лась
Past N,запыли́лось
Past PL,запыли́лись
Imp S,запыли́сь
Imp PL,запыли́тесь
