Infinitive,зарасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зарасту́
2nd Sing,зарастёшь
3rd Sing,зарастёт
1st Pl,зарастём
2nd Pl,зарастёте
3rd Pl,зарасту́т
Past M,заро́с
Past F,заросла́
Past N,заросло́
Past PL,заросли́
Imp S,зарасти́zarastí
Imp PL,зарасти́те
