Infinitive,зары́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зары́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зары́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зары́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зары́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заро́ю
2nd Sing,заро́ешь
3rd Sing,заро́ет
1st Pl,заро́ем
2nd Pl,заро́ете
3rd Pl,заро́ют
Past M,зары́л
Past F,зары́ла
Past N,зары́ло
Past PL,зары́ли
Imp S,заро́й
Imp PL,заро́йте
