Infinitive,заряди́ть
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заряди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заря́женный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,заряди́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,заряди́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заряжу́
2nd Sing,заряди́шь
3rd Sing,заряди́т
1st Pl,заряди́м
2nd Pl,заряди́те
3rd Pl,зарядя́т
Past M,заряди́л
Past F,заряди́ла
Past N,заряди́ло
Past PL,заряди́ли
Imp S,заряди́
Imp PL,заряди́те
