Infinitive,засиде́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,засиде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засиде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,засижу́сь
2nd Sing,засиди́шься
3rd Sing,засиди́тся
1st Pl,засиди́мся
2nd Pl,засиди́тесь
3rd Pl,засидя́тся
Past M,засиде́лся
Past F,засиде́лась
Past N,засиде́лось
Past PL,засиде́лись
Imp S,засиди́сь
Imp PL,засиди́тесь
