Infinitive,засто́порить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засто́поривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засто́поренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засто́порив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засто́поривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засто́порю
2nd Sing,засто́поришь
3rd Sing,засто́порит
1st Pl,засто́порим
2nd Pl,засто́порите
3rd Pl,засто́порят
Past M,засто́порил
Past F,засто́порила
Past N,засто́порило
Past PL,засто́порили
Imp S,засто́пори
Imp PL,засто́порьте
