Infinitive,засуети́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,засуети́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засуети́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,засуечу́сь
2nd Sing,засуети́шься
3rd Sing,засуети́тся
1st Pl,засуети́мся
2nd Pl,засуети́тесь
3rd Pl,засуетя́тся
Past M,засуети́лся
Past F,засуети́лась
Past N,засуети́лось
Past PL,засуети́лись
Imp S,засуети́сь
Imp PL,засуети́тесь
