Infinitive,засучи́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засучу́
2nd Sing,засу́чишь
3rd Sing,засу́чит
1st Pl,засу́чим
2nd Pl,засу́чите
3rd Pl,засу́чат
Past M,засучи́л
Past F,засучи́ла
Past N,засучи́ло
Past PL,засучи́ли
Imp S,засучи́
Imp PL,засучи́те
