Infinitive,зати́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зати́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,зати́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зати́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зати́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зати́хну
2nd Sing,зати́хнешь
3rd Sing,зати́хнет
1st Pl,зати́хнем
2nd Pl,зати́хнете
3rd Pl,зати́хнут
Past M,зати́х
Past F,зати́хла
Past N,зати́хло
Past PL,зати́хли
Imp S,зати́хни
Imp PL,зати́хните
