Infinitive,заточи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заточи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зато́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заточи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заточи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заточу́
2nd Sing,зато́чишь
3rd Sing,зато́чит
1st Pl,зато́чим
2nd Pl,зато́чите
3rd Pl,зато́чат
Past M,заточи́л
Past F,заточи́ла
Past N,заточи́ло
Past PL,заточи́ли
Imp S,заточи́
Imp PL,заточи́те
