Infinitive,заяви́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заяви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зая́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заяви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заяви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заявлю́
2nd Sing,зая́вишь
3rd Sing,зая́вит
1st Pl,зая́вим
2nd Pl,зая́вите
3rd Pl,зая́вят
Past M,заяви́л
Past F,заяви́ла
Past N,заяви́ло
Past PL,заяви́ли
Imp S,заяви́
Imp PL,заяви́те
