Infinitive,зли́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зля́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зли́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зли́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,злю́сь
2nd Sing,зли́шься
3rd Sing,зли́тся
1st Pl,зли́мся
2nd Pl,зли́тесь
3rd Pl,зля́тся
Past M,зли́лся
Past F,зли́лась
Past N,зли́лось
Past PL,зли́лись
Imp S,зли́сь
Imp PL,зли́тесь
