Infinitive,изгота́вливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изгота́вливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изгота́вливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изгота́вливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изгота́вливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,изгота́вливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,изгота́вливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,изгота́вливаю
2nd Sing,изгота́вливаешь
3rd Sing,изгота́вливает
1st Pl,изгота́вливаем
2nd Pl,изгота́вливаете
3rd Pl,изгота́вливают
Past M,изгота́вливал
Past F,изгота́вливала
Past N,изгота́вливало
Past PL,изгота́вливали
Imp S,изгота́вливай
Imp PL,изгота́вливайте
