Infinitive,излага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,излага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,излага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,излага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,излага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,излага́юсь
2nd Sing,излага́ешься
3rd Sing,излага́ется
1st Pl,излага́емся
2nd Pl,излага́етесь
3rd Pl,излага́ются
Past M,излага́лся
Past F,излага́лась
Past N,излага́лось
Past PL,излага́лись
Imp S,излага́йся
Imp PL,излага́йтесь
