Infinitive,измени́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,измени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,измени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изменю́сь
2nd Sing,изме́нишься
3rd Sing,изме́нится
1st Pl,изме́нимся
2nd Pl,изме́нитесь
3rd Pl,изме́нятся
Past M,измени́лся
Past F,измени́лась
Past N,измени́лось
Past PL,измени́лись
Imp S,измени́сь
Imp PL,измени́тесь
