Infinitive,изре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изре́жу
2nd Sing,изре́жешь
3rd Sing,изре́жет
1st Pl,изре́жем
2nd Pl,изре́жете
3rd Pl,изре́жут
Past M,изре́зал
Past F,изре́зала
Past N,изре́зало
Past PL,изре́зали
Imp S,изре́жь
Imp PL,изре́жьте
