Infinitive,изъе́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изъе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изъе́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изъе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изъе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изъе́м
2nd Sing,изъе́шь
3rd Sing,изъе́ст
1st Pl,изъеди́м
2nd Pl,изъеди́те
3rd Pl,изъедя́т
Past M,изъе́л
Past F,изъе́ла
Past N,изъе́ло
Past PL,изъе́ли
Imp S,изъе́шь
Imp PL,изъе́шьте
