Infinitive,ка́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ка́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ка́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ка́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ка́пну
2nd Sing,ка́пнешь
3rd Sing,ка́пнет
1st Pl,ка́пнем
2nd Pl,ка́пнете
3rd Pl,ка́пнут
Past M,ка́пнул
Past F,ка́пнула
Past N,ка́пнуло
Past PL,ка́пнули
Imp S,ка́пни
Imp PL,ка́пните
