Infinitive,кла́сться
Zaliznyak Class,7b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кладу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кла́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кладя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кла́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кладу́сь
2nd Sing,кладёшься
3rd Sing,кладётся
1st Pl,кладёмся
2nd Pl,кладётесь
3rd Pl,кладу́тся
Past M,кла́лся
Past F,кла́лась
Past N,кла́лось
Past PL,кла́лись
Imp S,клади́сь
Imp PL,клади́тесь
