Infinitive,кля́сть
Zaliznyak Class,irreg-b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кляну́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кляни́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кля́тый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,кляня́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,кля́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,кля́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,кляну́
2nd Sing,клянёшь
3rd Sing,клянёт
1st Pl,клянём
2nd Pl,клянёте
3rd Pl,кляну́т
Past M,кля́л
Past F,кляла́
Past N,кля́ло
Past PL,кля́ли
Imp S,кляни́
Imp PL,кляни́те
