Infinitive,кома́ндовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кома́ндующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кома́ндовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кома́ндуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кома́ндовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кома́ндовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,кома́ндую
2nd Sing,кома́ндуешь
3rd Sing,кома́ндует
1st Pl,кома́ндуем
2nd Pl,кома́ндуете
3rd Pl,кома́ндуют
Past M,кома́ндовал
Past F,кома́ндовала
Past N,кома́ндовало
Past PL,кома́ндовали
Imp S,кома́ндуй
Imp PL,кома́ндуйте
