Infinitive,ко́нчить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ко́нчивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ко́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ко́нчив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ко́нчивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ко́нчу
2nd Sing,ко́нчишь
3rd Sing,ко́нчит
1st Pl,ко́нчим
2nd Pl,ко́нчите
3rd Pl,ко́нчат
Past M,ко́нчил
Past F,ко́нчила
Past N,ко́нчило
Past PL,ко́нчили
Imp S,ко́нчи
Imp PL,ко́нчите
